999,05-02-2012,12:25:31,SetA
Question# ,     Choice
 1 ,"$10 in 7 days"
 2 ," $2.50 now"
 3 ,"$10 in 30 days"
 4 ,"$10 in 180 days"
 5 ,"$10 in 7 days"
 6 ," $6.50 now"
 7 ,"$10 in 180 days"
 8 ," $10.50 now"
 9 ,"$10 in 180 days"
 10 ," $0.50 now"
 11 ,"$10 in 30 days"
 12 ,"$10 in 90 days"
 13 ,"$10 in 30 days"
 14 ," $10.50 now"
 15 ," $10.50 now"
 16 ," $10.50 now"
 17 ," $10.50 now"
 18 ," $10.50 now"
 19 ," $10.50 now"
 20 ," $10.50 now"
 21 ," $10.50 now"
 22 ," $10.50 now"
 23 ," $10.50 now"
 24 ," $10.50 now"
 25 ," $10.50 now"
 26 ," $10.50 now"
 27 ," $10.50 now"
 28 ," $10.50 now"
 29 ," $10.50 now"
 30 ," $10.50 now"
 31 ," $10.50 now"
 32 ," $10.50 now"
 33 ," $10.50 now"
 34 ," $10.50 now"
 35 ," $10.50 now"
 36 ," $10.50 now"
 37 ," $10.50 now"
 38 ," $10.50 now"
 39 ," $10.50 now"
 40 ," $10.50 now"
 41 ," $10.50 now"
 42 ," $10.50 now"
 43 ," $10.50 now"
 44 ," $10.50 now"
 45 ," $10.50 now"
 46 ," $10.50 now"
 47 ," $10.50 now"
 48 ," $10.50 now"
 49 ," $10.50 now"
 50 ," $10.50 now"
 51 ," $10.50 now"
 52 ," $10.50 now"
 53 ," $10.50 now"
 54 ," $10.50 now"
 55 ," $10.50 now"
 56 ," $10.50 now"
 57 ," $10.50 now"
 58 ," $10.50 now"
 59 ,"$10 now"
 60 ,"$10 now"
 61 ,"$10 now"
 62 ,"$10 now"
 63 ,"$10 now"
 64 ,"$10 now"
 65 ,"$10 now"
 66 ,"$10 now"
 67 ,"$10 now"
 68 ,"$10 now"
 69 ,"$10 now"
 70 ,"$10 now"
 71 ,"$10 now"
 72 ,"$10 now"
 73 ,"$10 now"
 74 ,"$10 now"
 75 ,"$10 now"
 76 ,"$10 now"
 77 ,"$10 now"
 78 ,"$10 now"
 79 ,"$10 now"
 80 ,"$10 now"
 81 ,"$10 now"
 82 ,"$10 now"
 83 ,"$10 now"
 84 ,"$10 now"
 85 ,"$10 now"
 86 ,"$10 now"
 87 ,"$10 now"
 88 ,"$10 now"
 89 ,"$10 now"
 90 ,"$10 now"
 91 ,"$10 now"
 92 ,"$10 now"
 93 ,"$10 now"
 94 ,"$10 now"
 95 ,"$10 now"
 96 ,"$10 now"
 97 ,"$10 now"
 98 ,"$10 now"
 99 ,"$10 now"
 100 ,"$10 now"
 101 ,"$10 now"
 102 ,"$10 now"
 103 ,"$10 now"
 104 ,"$10 now"
 105 ,"$10 now"
 106 ,"$10 now"
 107 ,"$10 now"
 108 ,"$10 now"
 109 ,"$10 now"
 110 ,"$10 now"
 111 ,"$10 now"
 112 ,"$10 now"
 113 ,"$10 now"
 114 ,"$10 now"
 115 ,"$10 now"
 116 ,"$10 now"
 117 ,"$10 now"
 118 ,"$10 now"
 119 ,"$10 now"
 120 ,"$10 now"
 121 ,"$10 now"
 122 ,"$10 now"
 123 ,"$10 now"
 124 ,"$10 now"
 125 ,"$10 now"
 126 ,"$10 now"
 127 ,"$10 now"
 128 ,"$10 now"
 129 ,"$10 now"
 130 ,"$10 now"
 131 ,"$10 now"
 132 ,"$10 now"
 133 ,"$10 now"
 134 ,"$10 now"
 135 ,"$10 now"
 136 ,"$10 now"
 137 ,"$10 now"
 138 ,"$10 now"
999,06-15-2012,11:52:17,SetA
Question# ,     Choice
 1 ," $3.00 now"
 2 ,"$10 in 180 days"
 3 ,"$10 in 90 days"
 4 ,"$10 in 90 days"
 5 ," $10.00 now"
 6 ," $10.50 now"
 7 ," $10.50 now"
 8 ," $10.50 now"
 9 ," $10.50 now"
 10 ," $10.50 now"
 11 ," $10.50 now"
 12 ," $10.50 now"
 13 ," $10.50 now"
 14 ," $10.50 now"
 15 ," $10.50 now"
 16 ," $10.50 now"
 17 ," $10.50 now"
 18 ," $10.50 now"
 19 ," $10.50 now"
 20 ," $10.50 now"
 21 ," $10.50 now"
 22 ," $10.50 now"
 23 ," $10.50 now"
 24 ," $10.50 now"
 25 ," $10.50 now"
 26 ," $10.50 now"
 27 ," $10.50 now"
 28 ," $10.50 now"
 29 ," $10.50 now"
 30 ," $10.50 now"
 31 ," $10.50 now"
 32 ," $10.50 now"
 33 ," $10.50 now"
 34 ," $10.50 now"
 35 ," $10.50 now"
 36 ," $10.50 now"
 37 ," $10.50 now"
 38 ," $10.50 now"
 39 ," $10.50 now"
 40 ," $10.50 now"
 41 ," $10.50 now"
 42 ," $10.50 now"
 43 ," $10.50 now"
 44 ," $10.50 now"
 45 ," $10.50 now"
 46 ," $10.50 now"
 47 ," $10.50 now"
 48 ," $10.50 now"
 49 ," $10.50 now"
 50 ," $10.50 now"
 51 ," $10.50 now"
 52 ," $10.50 now"
 53 ," $10.50 now"
 54 ," $10.50 now"
 55 ," $10.50 now"
 56 ," $10.50 now"
 57 ," $10.50 now"
 58 ," $10.50 now"
 59 ," $10.50 now"
 60 ," $10.50 now"
 61 ," $10.50 now"
 62 ," $10.50 now"
 63 ," $10.50 now"
 64 ," $10.50 now"
 65 ," $10.50 now"
 66 ," $10.50 now"
 67 ," $10.50 now"
 68 ," $10.50 now"
 69 ," $10.50 now"
 70 ," $10.50 now"
 71 ," $10.50 now"
 72 ," $10.50 now"
 73 ," $10.50 now"
 74 ," $10.50 now"
 75 ," $10.50 now"
 76 ," $10.50 now"
 77 ,"$10 now"
 78 ,"$10 now"
 79 ,"$10 now"
 80 ,"$10 now"
 81 ,"$10 now"
 82 ,"$10 now"
 83 ,"$10 now"
 84 ,"$10 now"
 85 ,"$10 now"
 86 ,"$10 now"
 87 ,"$10 now"
 88 ,"$10 now"
 89 ,"$10 now"
 90 ,"$10 now"
 91 ,"$10 now"
 92 ,"$10 now"
 93 ,"$10 now"
 94 ,"$10 now"
 95 ,"$10 now"
 96 ,"$10 now"
 97 ,"$10 now"
 98 ,"$10 now"
 99 ,"$10 now"
 100 ,"$10 now"
 101 ,"$10 now"
 102 ,"$10 now"
 103 ,"$10 now"
 104 ,"$10 now"
 105 ,"$10 now"
 106 ,"$10 now"
 107 ,"$10 now"
 108 ,"$10 now"
 109 ,"$10 now"
 110 ,"$10 now"
 111 ,"$10 now"
 112 ,"$10 now"
 113 ,"$10 now"
 114 ,"$10 now"
 115 ,"$10 now"
 116 ,"$10 now"
 117 ,"$10 now"
 118 ,"$10 now"
 119 ,"$10 now"
 120 ,"$10 now"
 121 ,"$10 now"
 122 ,"$10 now"
 123 ,"$10 now"
 124 ,"$10 now"
 125 ,"$10 now"
 126 ,"$10 now"
 127 ,"$10 now"
 128 ,"$10 now"
 129 ,"$10 now"
 130 ,"$10 now"
 131 ,"$10 now"
 132 ,"$10 now"
 133 ,"$10 now"
 134 ,"$10 now"
 135 ,"$10 now"
 136 ,"$10 now"
 137 ,"$10 now"
 138 ,"$10 now"
999,06-21-2012,13:31:26,SetA
Question# ,     Choice
 1 ," $0.50 now"
 2 ,"$10 in 30 days"
 3 ," $10.50 now"
 4 ," $10.50 now"
 5 ," $10.50 now"
 6 ," $10.50 now"
 7 ," $10.50 now"
 8 ," $10.50 now"
 9 ," $10.50 now"
 10 ," $10.50 now"
 11 ," $10.50 now"
 12 ," $10.50 now"
 13 ," $10.50 now"
 14 ," $10.50 now"
 15 ," $10.50 now"
 16 ," $10.50 now"
 17 ," $10.50 now"
 18 ," $10.50 now"
 19 ," $10.50 now"
 20 ," $10.50 now"
 21 ," $10.50 now"
 22 ," $10.50 now"
 23 ," $10.50 now"
 24 ," $10.50 now"
 25 ," $10.50 now"
 26 ," $10.50 now"
 27 ," $10.50 now"
 28 ," $10.50 now"
 29 ," $10.50 now"
 30 ," $10.50 now"
 31 ," $10.50 now"
 32 ," $10.50 now"
 33 ," $10.50 now"
 34 ," $10.50 now"
 35 ," $10.50 now"
 36 ," $10.50 now"
 37 ," $10.50 now"
 38 ," $10.50 now"
 39 ," $10.50 now"
 40 ," $10.50 now"
 41 ," $10.50 now"
 42 ," $10.50 now"
 43 ," $10.50 now"
 44 ," $10.50 now"
 45 ," $10.50 now"
 46 ," $10.50 now"
 47 ," $10.50 now"
 48 ," $10.50 now"
 49 ," $10.50 now"
 50 ," $10.50 now"
 51 ," $10.50 now"
 52 ," $10.50 now"
 53 ," $10.50 now"
 54 ," $10.50 now"
 55 ," $10.50 now"
 56 ," $10.50 now"
 57 ," $10.50 now"
 58 ," $10.50 now"
 59 ," $10.50 now"
 60 ," $10.50 now"
 61 ," $10.50 now"
 62 ," $10.50 now"
 63 ," $10.50 now"
 64 ," $10.50 now"
 65 ," $10.50 now"
 66 ," $10.50 now"
 67 ," $10.50 now"
 68 ," $10.50 now"
 69 ," $10.50 now"
 70 ," $10.50 now"
 71 ,"$10 now"
 72 ,"$10 now"
 73 ,"$10 now"
 74 ,"$10 now"
 75 ,"$10 now"
 76 ,"$10 now"
 77 ,"$10 now"
 78 ,"$10 now"
 79 ,"$10 now"
 80 ,"$10 now"
 81 ,"$10 now"
 82 ,"$10 now"
 83 ,"$10 now"
 84 ,"$10 now"
 85 ,"$10 now"
 86 ,"$10 now"
 87 ,"$10 now"
 88 ,"$10 now"
 89 ,"$10 now"
 90 ,"$10 now"
 91 ,"$10 now"
 92 ,"$10 now"
 93 ,"$10 now"
 94 ,"$10 now"
 95 ,"$10 now"
 96 ,"$10 now"
 97 ,"$10 now"
 98 ,"$10 now"
 99 ,"$10 now"
 100 ,"$10 now"
 101 ,"$10 now"
 102 ,"$10 now"
 103 ,"$10 now"
 104 ,"$10 now"
 105 ,"$10 now"
 106 ,"$10 now"
 107 ,"$10 now"
 108 ,"$10 now"
 109 ,"$10 now"
 110 ,"$10 now"
 111 ,"$10 now"
 112 ,"$10 now"
 113 ,"$10 now"
 114 ,"$10 now"
 115 ,"$10 now"
 116 ,"$10 now"
 117 ,"$10 now"
 118 ,"$10 now"
 119 ,"$10 now"
 120 ,"$10 now"
 121 ,"$10 now"
 122 ,"$10 now"
 123 ,"$10 now"
 124 ,"$10 now"
 125 ,"$10 now"
 126 ,"$10 now"
 127 ,"$10 now"
 128 ,"$10 now"
 129 ,"$10 now"
 130 ,"$10 now"
 131 ,"$10 now"
 132 ,"$10 now"
 133 ,"$10 now"
 134 ,"$10 now"
 135 ,"$10 now"
 136 ,"$10 now"
 137 ,"$10 now"
 138 ,"$10 now"
999,07-29-2013,17:05:43,SetA
Question# ,     Choice
 1 ," $4.00 now"
 2 ," $4.00 now"
 3 ," $10.00 now"
 4 ,"$10 in 7 days"
 5 ,"$10 in 90 days"
 6 ," $10.50 now"
 7 ,"$10 in 90 days"
 8 ,"$10 in 365 days"
 9 ,"$10 in 7 days"
 10 ,"$10 in 30 days"
 11 ,"$10 in 7 days"
 12 ,"$10 in 7 days"
 13 ," $4.00 now"
 14 ,"$10 in 365 days"
 15 ,"$10 in 30 days"
 16 ," $6.00 now"
 17 ,"$10 in 90 days"
 18 ,"$10 in 365 days"
 19 ," $5.50 now"
 20 ," $10.50 now"
 21 ," $10.50 now"
 22 ," $10.50 now"
 23 ," $10.50 now"
 24 ," $10.50 now"
 25 ," $10.50 now"
 26 ," $10.50 now"
 27 ," $10.50 now"
 28 ," $10.50 now"
 29 ," $10.50 now"
 30 ," $10.50 now"
 31 ," $10.50 now"
 32 ," $10.50 now"
 33 ," $10.50 now"
 34 ," $10.50 now"
 35 ," $10.50 now"
 36 ," $10.50 now"
 37 ," $10.50 now"
 38 ," $10.50 now"
 39 ," $10.50 now"
 40 ," $10.50 now"
 41 ," $10.50 now"
 42 ," $10.50 now"
 43 ," $10.50 now"
 44 ," $10.50 now"
 45 ," $10.50 now"
 46 ," $10.50 now"
 47 ," $10.50 now"
 48 ," $10.50 now"
 49 ," $10.50 now"
 50 ," $10.50 now"
 51 ," $10.50 now"
 52 ," $10.50 now"
 53 ," $10.50 now"
 54 ," $10.50 now"
 55 ," $10.50 now"
 56 ," $10.50 now"
 57 ," $10.50 now"
 58 ," $10.50 now"
 59 ," $10.50 now"
 60 ," $10.50 now"
 61 ," $10.50 now"
 62 ," $10.50 now"
 63 ," $10.50 now"
 64 ," $10.50 now"
 65 ," $10.50 now"
 66 ," $10.50 now"
 67 ,"$10 now"
 68 ,"$10 now"
 69 ,"$10 now"
 70 ,"$10 now"
 71 ,"$10 now"
 72 ,"$10 now"
 73 ,"$10 now"
 74 ,"$10 now"
 75 ,"$10 now"
 76 ,"$10 now"
 77 ,"$10 now"
 78 ,"$10 now"
 79 ,"$10 now"
 80 ,"$10 now"
 81 ,"$10 now"
 82 ,"$10 now"
 83 ,"$10 now"
 84 ,"$10 now"
 85 ,"$10 now"
 86 ,"$10 now"
 87 ,"$10 now"
 88 ,"$10 now"
 89 ,"$10 now"
 90 ,"$10 now"
 91 ,"$10 now"
 92 ,"$10 now"
 93 ,"$10 now"
 94 ,"$10 now"
 95 ,"$10 now"
 96 ,"$10 now"
 97 ,"$10 now"
 98 ,"$10 now"
 99 ,"$10 now"
 100 ,"$10 now"
 101 ,"$10 now"
 102 ,"$10 now"
 103 ,"$10 now"
 104 ,"$10 now"
 105 ,"$10 now"
 106 ,"$10 now"
 107 ,"$10 now"
 108 ,"$10 now"
 109 ,"$10 now"
 110 ,"$10 now"
 111 ,"$10 now"
 112 ,"$10 now"
 113 ,"$10 now"
 114 ,"$10 now"
 115 ,"$10 now"
 116 ,"$10 now"
 117 ,"$10 now"
 118 ,"$10 now"
 119 ,"$10 now"
 120 ,"$10 now"
 121 ,"$10 now"
 122 ,"$10 now"
 123 ,"$10 now"
 124 ,"$10 now"
 125 ,"$10 now"
 126 ,"$10 now"
 127 ,"$10 now"
 128 ,"$10 now"
 129 ,"$10 now"
 130 ,"$10 now"
 131 ,"$10 now"
 132 ,"$10 now"
 133 ,"$10 now"
 134 ,"$10 now"
 135 ,"$10 now"
 136 ,"$10 now"
 137 ,"$10 now"
 138 ,"$10 now"
